,external_gene_name,gene_biotype,kME.set1.ME,kME.set2.ME,kME.set3ME,p.kME.set1.ME,p.kME.set2.ME,p.kME.set3ME,Module
3602,ARRDC3,protein_coding,0.9781659311884159,0.9483325579719549,0.9005131158599059,2.42539252284575e-12,2.1702699201918603e-09,3.5174604501280397e-07,lightgreen
1489,DDHD2,protein_coding,0.9699453164494201,0.9525595326383579,0.84641881591151,3.04631731321323e-11,1.1112183514052303e-09,9.50024987680601e-06,lightgreen
3989,PRDM2,protein_coding,0.9696714076375219,0.988942409859741,0.8427285270081751,3.27281276978541e-11,1.08554568566379e-14,1.13476895380994e-05,lightgreen
7929,FER,protein_coding,0.967070282466712,0.9593154445086322,0.9482264453791271,6.269695827783349e-11,3.32154779292908e-10,2.2054410453248e-09,lightgreen
2336,ZDHHC15,protein_coding,0.963241823709419,0.898526401418627,0.858625396123827,1.49322849461661e-10,4.0938109336399396e-07,5.0997596031275004e-06,lightgreen
10234,HOOK3,protein_coding,0.9621994109409909,0.8218147913345542,0.8228223517596259,1.86145627412126e-10,2.8731148033211797e-05,2.7549812742693102e-05,lightgreen
17343,AC004803.1,lncRNA,0.9526466092635,0.847753547505963,0.8449447354898149,1.09530829164526e-09,8.898803518672431e-06,1.02046417987447e-05,lightgreen
8012,GPATCH11,protein_coding,0.9525463582581079,0.966530860443646,0.9512884475807359,1.11364291389631e-09,7.127872244177629e-11,1.3674503027125e-09,lightgreen
15847,PCAT7,lncRNA,0.952390440609463,0.8495971890590021,0.859082669434935,1.14268894251505e-09,8.12187857833797e-06,4.97679010582603e-06,lightgreen
12218,NGRN,protein_coding,0.949440064978495,0.9652484449698441,0.836557095009087,1.83129598820034e-09,9.59047574945062e-11,1.5125695906006e-05,lightgreen
9455,SLC25A46,protein_coding,0.9481433971425781,0.8911470378695681,0.8869390588622109,2.2333122170518303e-09,7.00820851850656e-07,9.363328518834299e-07,lightgreen
4915,TBC1D20,protein_coding,0.9481086198474659,0.9316829832404501,0.927504230907887,2.2450742311976103e-09,1.9228540626495e-08,3.05072299439229e-08,lightgreen
562,ZNF800,protein_coding,0.9473586714504041,0.8966042018317629,0.8471087157281619,2.51216518281751e-09,4.72732824724557e-07,9.18516550293103e-06,lightgreen
8296,CDK19,protein_coding,0.944907371588802,0.913001957397551,0.83044897260581,3.5875220243257298e-09,1.25233805467296e-07,1.98763784476352e-05,lightgreen
2349,FNDC3A,protein_coding,0.935725670304785,0.814649455446301,0.8259896109446869,1.1957222838684098e-08,3.844825407854871e-05,2.41022304853673e-05,lightgreen
3606,FAM172A,protein_coding,0.9336350050505319,0.963629067595984,0.9384167864073492,1.53440484570263e-08,1.37360317384999e-10,8.5656623162273e-09,lightgreen
3197,TBC1D19,protein_coding,0.932617794688496,0.923187514251468,0.9550791169689208,1.7273331318706203e-08,4.77902910000819e-08,7.238757594525131e-10,lightgreen
12615,PRKN,protein_coding,0.932171121388813,0.8126575964425892,0.8472057282202071,1.81848921884742e-08,4.1600881520814e-05,9.14158542488305e-06,lightgreen
6788,ZFHX3,protein_coding,0.92651467346516,0.9273037077865459,0.834863313307096,3.38944266423106e-08,3.1168818102067795e-08,1.63336309351989e-05,lightgreen
9330,ZNF148,protein_coding,0.926444038047834,0.900346959546884,0.87214144715276,3.41482066455961e-08,3.56281270774219e-07,2.3863818225106898e-06,lightgreen
12184,CEP97,protein_coding,0.925931710371282,0.972161761853324,0.890788363964636,3.6038739873772e-08,1.66204417545078e-11,7.186693011538379e-07,lightgreen
